Morph-Lemma,Morph-Inflection
〇,〇
あ,あ
あ〜,あ〜
あぁ,あぁ
ああ,ああ
あいつ,あいつ
あいにく,あいにく
あう,あい
あう,あう
あう,あっ
あう,あわ
あえて,あえて
あがる,あがっ
あがる,あがら
あがる,あがり
あがる,あがる
あきらめる,あきらめ
あきらめる,あきらめる
あきらめる,あきらめろ
あきる,あき
あく,あか
あく,あき
あく,あく
あくまで,あくまで
あくまでも,あくまでも
あける,あけ
あける,あける
あける,あけろ
あげく,あげく
あげる,あげ
あげる,あげよ
あげる,あげる
あげる,あげれ
あげる,あげん
あさって,あさって
あした,あした
あそこ,あそこ
あたし,あたし
あたたかい,あたたかい
あたり,あたり
あたる,あたっ
あたる,あたる
あだ名,あだ名
あちら,あちら
あっ,あっ
あっさり,あっさり
あっち,あっち
あっという間に,あっという間に
あつい,あつ
あつい,あつい
あつい,あつし
あと,あと
あなた,あなた
あの,あの
あの世,あの世
あふれる,あふれ
あふれる,あふれる
あぶない,あぶない
あぶる,あぶ
あぶる,あぶっ
あぶる,あぶり
あまり,あまり
あまりに,あまりに
あむ,あむ
あむ,あも
あむ,あん
あら,あら
あらう,あらっ
あらす,あらす
ありえる,ありえ
ありえる,ありえる
ありえる,ありえん
ありがたい,ありがた
ありがたい,ありがたい
ありがたい,ありがたかっ
ありがたい,ありがたく
ありがと,ありがと
ありがとう,ありがとう
ありのまま,ありのまま
ありふれる,ありふれ
ある,あ
ある,あっ
ある,あら
ある,あり
ある,ありゃ
ある,ある
ある,あれ
ある,あろ
ある,あん
あるいは,あるいは
あるく,あるか
ある程度,ある程度
あれ,あれ
あれこれ,あれこれ
あん,あん
あんた,あんた
あんな,あんな
あんなに,あんなに
あんま,あんま
あんまり,あんまり
あッ,あッ
あー,あー
い,い
いい,いい
いい,いいいっ
いい,いいっ
いいえ,いいえ
いいかげん,いいかげん
いいかねる,いいかね
いい加減,いい加減
いう,いい
いう,いう
いう,いえ
いう,いお
いう,いっ
いう,いわ
いえ,いえ
いえいえ,いえいえ
いか,いか
いかが,いかが
いかにも,いかにも
いかれる,いかれ
いかれる,いかれる
いきなり,いきなり
いく,いか
いく,いき
いく,いく
いく,いけ
いく,いこ
いく,いっ
いくつ,いくつ
いくよ,いくよ
いくら,いくら
いくらでも,いくらでも
いける,いけ
いける,いける
いける,いけん
いざ,いざ
いざる,いざっ
いじめ,いじめ
いじめる,いじめ
いじめる,いじめる
いじる,いじっ
いじる,いじり
いじる,いじる
いじる,いじれ
いずれ,いずれ
いたい,いた
いたい,いたい
いたい,いたかっ
いたい,いたく
いたい,いたし
いたす,いたし
いたす,いたす
いたずら,いたずら
いただく,いただい
いただく,いただか
いただく,いただき
いただく,いただく
いただく,いただこ
いただける,いただけ
いただける,いただける
いただける,いただけれ
いたむ,いたみ
いたむ,いたん
いたる,いたっ
いたる,いたる
いた事,いた事
いちいち,いちいち
いちばん,いちばん
いっか,いっか
いったい,いったい
いったん,いったん
いっとき,いっとき
いっぱい,いっぱい
いつ,いつ
いつか,いつか
いつの間に,いつの間に
いつの間にか,いつの間にか
いつも,いつも
いなほ,いなほ
いふ,いは
いふ,いふ
いま,いま
いまだ,いまだ
いも,いも
いや,いや
いやぁ,いやぁ
いやあ,いやあ
いやいや,いやいや
いやー,いやー
いよいよ,いよいよ
いらいら,いらいら
いらっしゃい,いらっしゃい
いらっしゃる,いらっしゃい
いらっしゃる,いらっしゃっ
いらっしゃる,いらっしゃら
いらっしゃる,いらっしゃる
いる,い
いる,いっ
いる,いよ
いる,いら
いる,いり
いる,いりゃ
いる,いる
いる,いれ
いる,いろ
いる,いん
いるか,いるか
いれる,いれ
いれる,いれる
いれる,いれれ
いろいろ,いろいろ
いろんな,いろんな
いわば,いわば
いわゆる,いわゆる
う,う
うい,う
うい,うい
うい,うぅ
うい,うう
うい,うかっ
うい,うから
うい,うき
うい,うく
うい,うくっ
ううん,ううん
うえ,うえ
うそ,うそ
うち,うち
うっする,うっせ
うっとうしい,うっとうし
うっとうしい,うっとうしい
うっとうしい,うっとうしかっ
うつ,うた
うつ,うち
うつ,うっ
うつ,うつ
うつる,うつっ
うつる,うつる
うつ伏せる,うつ伏せ
うつ病,うつ病
うのみ,うのみ
うまい,うま
うまい,うまい
うまい,うまかっ
うまい,うまかろ
うまい,うまく
うまく,うまく
うまる,うまっ
うらやましい,うらやましい
うらやましい,うらやましかっ
うらやましい,うらやましく
うる,うっ
うる,うら
うる,うりゃ
うる,うる
うるさい,うるさ
うるさい,うるさい
うるさい,うるさかっ
うるさい,うるさく
うれしい,うれし
うれしい,うれしい
うれしい,うれしかっ
うれしい,うれしかろ
うれしい,うれしく
うれしい,うれしくっ
うれしい,うれしゅう
うわ,うわ
うわさ,うわさ
うん,うん
うんこ,うんこ
うーん,うーん
え,え
ええ,ええ
えぐる,えぐっ
えぐる,えぐら
えぐる,えぐり
えぐる,えぐる
えっ,えっ
えと,えと
えらい,えら
えらい,えらい
えらい,えらく
える,え
える,えっ
える,えよ
える,えら
える,えり
える,える
える,えれ
える,えん
えッ,えッ
えー,えー
えーと,えーと
お,お
おい,おい
おいおい,おいおい
おいしい,おいし
おいしい,おいしい
おいしい,おいしかっ
おいしい,おいしく
おいしい,おいしけれ
おいしい,おいしゅう
おいで,おいで
おう,おい
おう,おう
